Login_page,Class,Status,DOD,Last_update_date
4086522,Business,complete,7/13/2016 12:00:00 AM,
3990738,Business,complete,7/13/2016 12:00:00 AM,
3491462,Economy,complete,7/13/2016 12:00:00 AM,
3909113,Economy,complete,7/13/2016 12:00:00 AM,
3990737,Business,complete,7/13/2016 12:00:00 AM,
3059509,Premium Economy,complete,7/13/2016 12:00:00 AM,
3960328,Premium Economy,complete,7/13/2016 12:00:00 AM,
2689891,Economy,complete,7/13/2016 12:00:00 AM,
412279,Business,complete,7/13/2016 12:00:00 AM,
3965237,Economy,complete,7/13/2016 12:00:00 AM,
3389699,Premium Economy,complete,7/13/2016 12:00:00 AM,
2689890,Economy,complete,7/13/2016 12:00:00 AM,
3945637,Economy,complete,7/13/2016 12:00:00 AM,
2121529,Economy,complete,7/13/2016 12:00:00 AM,
3987641,Business,complete,7/13/2016 12:00:00 AM,
3967756,Economy,complete,7/13/2016 12:00:00 AM,
4086523,Business,complete,7/13/2016 12:00:00 AM,
3892122,Premium Economy,complete,7/13/2016 12:00:00 AM,
4015022,Premium Economy,complete,7/13/2016 12:00:00 AM,
3981887,Business,complete,7/13/2016 12:00:00 AM,
2743399,Economy,complete,7/13/2016 12:00:00 AM,
4535037,Economy,complete,7/13/2016 12:00:00 AM,
3602058,Economy,complete,7/13/2016 12:00:00 AM,
3445574,Economy,complete,7/13/2016 12:00:00 AM,
3604676,Economy,complete,7/13/2016 12:00:00 AM,
3945649,Premium Economy,complete,7/13/2016 12:00:00 AM,
3602059,Economy,complete,7/13/2016 12:00:00 AM,
3842018,Business,complete,7/13/2016 12:00:00 AM,
3926351,Business,complete,7/13/2016 12:00:00 AM,
3277225,Economy,complete,7/13/2016 12:00:00 AM,
2683975,Economy,complete,7/13/2016 12:00:00 AM,
3987550,Economy,complete,7/13/2016 12:00:00 AM,
3369635,Economy,complete,7/13/2016 12:00:00 AM,
3798231,Premium Economy,complete,7/13/2016 12:00:00 AM,
3671368,Economy,complete,7/13/2016 12:00:00 AM,
3987582,Business,complete,7/13/2016 12:00:00 AM,
4307002,Economy,complete,7/13/2016 12:00:00 AM,
4303347,Business,complete,7/13/2016 12:00:00 AM,
3604678,Business,complete,7/13/2016 12:00:00 AM,
3793181,Economy,complete,7/13/2016 12:00:00 AM,
3944378,Economy,complete,7/13/2016 12:00:00 AM,
2849363,Business,complete,7/13/2016 12:00:00 AM,
4066275,Business,complete,7/13/2016 12:00:00 AM,
3766650,Premium Economy,complete,7/13/2016 12:00:00 AM,
4535036,Economy,complete,7/13/2016 12:00:00 AM,
3389719,Economy,complete,7/13/2016 12:00:00 AM,
2689895,Economy,complete,7/13/2016 12:00:00 AM,
2731452,Premium Economy,complete,7/13/2016 12:00:00 AM,
3987621,Business,complete,7/13/2016 12:00:00 AM,
2716958,Business,complete,7/13/2016 12:00:00 AM,
3389586,Premium Economy,complete,7/13/2016 12:00:00 AM,
4065360,Business,complete,7/13/2016 12:00:00 AM,
4014106,Economy,complete,7/13/2016 12:00:00 AM,
4086570,Economy,complete,7/13/2016 12:00:00 AM,
3966627,Economy,complete,7/13/2016 12:00:00 AM,
3965958,Economy,complete,7/13/2016 12:00:00 AM,
3449567,Economy,complete,7/13/2016 12:00:00 AM,
3389663,Premium Economy,complete,7/13/2016 12:00:00 AM,
4065345,Premium Economy,complete,7/13/2016 12:00:00 AM,
3059951,Economy,complete,7/14/2016 12:00:00 AM,
3594235,Economy,complete,7/14/2016 12:00:00 AM,
3571483,Economy,complete,7/14/2016 12:00:00 AM,
3331712,Premium Economy,complete,7/14/2016 12:00:00 AM,
3941954,Business,complete,7/14/2016 12:00:00 AM,
4015484,Business,complete,7/14/2016 12:00:00 AM,
3945752,Business,complete,7/14/2016 12:00:00 AM,
3216087,Economy,complete,7/14/2016 12:00:00 AM,
3638984,Economy,complete,7/14/2016 12:00:00 AM,
2693521,Economy,complete,7/14/2016 12:00:00 AM,
4086587,Business,complete,7/14/2016 12:00:00 AM,
4086586,Business,complete,7/14/2016 12:00:00 AM,
3413050,Economy,complete,7/14/2016 12:00:00 AM,
4009092,Business,complete,7/14/2016 12:00:00 AM,
3236350,Economy,complete,7/14/2016 12:00:00 AM,
3946219,Economy,complete,7/14/2016 12:00:00 AM,
3149714,Economy,complete,7/14/2016 12:00:00 AM,
3944170,First,complete,7/14/2016 12:00:00 AM,
3389608,Economy,complete,7/14/2016 12:00:00 AM,
2808471,Economy,complete,7/14/2016 12:00:00 AM,
3389738,Business,complete,7/14/2016 12:00:00 AM,
4057142,Business,complete,7/14/2016 12:00:00 AM,
2602638,Economy,complete,7/14/2016 12:00:00 AM,
3944583,Economy,complete,7/15/2016 12:00:00 AM,
4065330,Business,complete,7/14/2016 12:00:00 AM,
2775541,Economy,complete,7/14/2016 12:00:00 AM,
3942627,Economy,complete,7/14/2016 12:00:00 AM,
3491447,Economy,complete,7/14/2016 12:00:00 AM,
3638944,Economy,complete,7/14/2016 12:00:00 AM,
3638983,Economy,complete,7/14/2016 12:00:00 AM,
3977559,Economy,complete,7/14/2016 12:00:00 AM,
3712784,Economy,complete,7/14/2016 12:00:00 AM,
2691689,Business,complete,7/14/2016 12:00:00 AM,
2121532,Economy,complete,7/14/2016 12:00:00 AM,
3877490,Economy,complete,7/14/2016 12:00:00 AM,
3573280,Premium Economy,complete,7/14/2016 12:00:00 AM,
3993208,Economy,complete,7/14/2016 12:00:00 AM,
4014354,Economy,complete,7/14/2016 12:00:00 AM,
3958976,Economy,complete,7/14/2016 12:00:00 AM,
4015260,Business,complete,7/14/2016 12:00:00 AM,
4086656,Business,complete,7/14/2016 12:00:00 AM,
